시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
강원,강원 춘천시,총인구,179198,183192,187159,232682,235729,240226,244076,248370,251212,251142,252624,253363,254323,254999,256239,258141,261975,264849,269950,272805,273364,274455,275791,277997,280707,280514,280640,281291,282765,284594
강원,강원 춘천시,노인인구비율,5.67,5.84,6.03,7.34,7.47,7.61,7.77,7.99,8.31,8.81,9.27,9.78,10.33,10.84,11.40,11.98,12.37,12.72,13.11,13.48,14,14.38,14.64,14.78,14.85,15.65,16.22,16.94,17.88,18.61
강원,강원 원주군,총인구,49157,50430,50954,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원,강원 원주군,노인인구비율,10.17,10.26,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원,강원 원주시,총인구,171356,175910,179828,237537,244535,254271,260355,265073,270009,274266,276889,280738,284628,288454,294155,298762,303975,307882,314678,320536,323885,324837,327292,332995,337979,341337,344070,349215,354376,357757
강원,강원 원주시,노인인구비율,5.33,5.42,5.55,6.81,6.85,6.98,7.21,7.46,7.72,8.09,8.44,8.88,9.28,9.63,10.00,10.36,10.63,10.85,11.08,11.29,11.62,11.95,12.18,12.34,12.5,13.26,13.72,14.31,15.07,15.87
강원,강원 강릉시,총인구,151768,153624,155510,223539,224111,225528,229449,232067,233121,231943,229869,229073,227259,224391,222016,220484,218399,217464,218503,217571,217741,216806,215807,214560,213846,213952,212957,213442,213321,212965
강원,강원 강릉시,노인인구비율,5.80,5.94,6.11,7.43,7.55,7.74,7.98,8.19,8.59,9.03,9.53,10.06,10.61,11.21,11.83,12.58,13.13,13.73,14.3,14.82,15.45,16.08,16.69,17.21,17.62,18.59,19.35,20.2,21.32,22.22
강원,강원 명주군,총인구,70086,68799,67407,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원,강원 명주군,노인인구비율,9.05,9.46,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원,강원 동해시,총인구,96293,97734,99126,100277,101912,103112,103474,103704,103654,103570,102857,101764,100727,99230,97497,96652,95652,95271,95236,95804,93897,95143,94562,93895,93297,92851,91272,90522,90593,90081
강원,강원 동해시,노인인구비율,5.96,6.05,6.24,6.43,6.67,6.80,7.06,7.37,7.71,8.02,8.43,8.95,9.48,10.06,10.71,11.53,12.12,12.7,13.19,13.55,14.25,14.72,15.29,15.86,16.21,17.1,18.11,19.15,20.19,21.14
강원,강원 태백시,총인구,79343,71890,68129,64850,62436,60438,59896,58588,57023,56193,55154,53948,53264,52463,51593,51490,51028,50424,50864,50176,49493,48794,48258,47501,47070,45888,44858,43866,42719,40844
강원,강원 태백시,노인인구비율,3.91,4.35,4.76,5.17,5.51,5.87,6.22,6.83,7.27,8.00,8.57,9.26,10.03,10.67,11.40,12.29,13,13.62,14.82,15.36,16.19,17.17,18.06,18.97,19.69,20.98,22.16,23.54,25.19,26.45
강원,강원 속초시,총인구,74730,76577,78549,80625,82472,85263,86923,88764,90032,90231,90029,89047,87933,87124,86073,85370,84599,83822,84302,83745,83579,83109,82432,81992,81793,82273,81682,81786,82665,82791
강원,강원 속초시,노인인구비율,6.30,6.47,6.67,6.75,6.76,6.80,6.87,7.15,7.50,7.82,8.23,8.62,9.15,9.72,10.36,11.05,11.65,12.17,12.67,13.18,13.8,14.31,14.87,15.23,15.59,16.37,17.08,18.12,19.2,20.14
강원,강원 삼척군,총인구,58544,55001,50928,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원,강원 삼척군,노인인구비율,7.46,8.13,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
